Fiscal Year,Requirement Title,Requirement Description,Office Symbol,New Requirement,Incumbent Contractor,Past Competition,Length of Performance,Target Award Fiscal Year Quarter,Estimated Value,Place of Performance,Point of Contact Name,Facility Security Clearance,NAICS Code,Estimated Value Lower,Estimated Value Upper
FY24,,INL UKRAINE WILL SUPPORT ENHANCING OF THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) DETECTIVES DEPARTMENT BY PROCURING AND DONATING IT EQUIPMENT.,INL/EA,New,,,1 time purchase,Q3,>$1M and <$5M,UKRAINE,"Gaudreau, Margaret R",,443141 - Household Appliance Stores,1000000.0,5000000.0
FY24,,DIGITAL FORENSIC HARDWARE AND  SOFTWARE FOR THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) DIGITAL FORENSIC LAB AND ANALYTICAL DEPARTMENT.,INL/EA,New,,,1 time purchase,Q1,>$250K and <$500K,UKRAINE,"Gaudreau, Margaret R",,443141 - Household Appliance Stores,250000.0,500000.0
FY24,,INL UKRAINE WILL SUPPORT ENHANCING OF THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) BY EXPANDING THEIR AUTO FLEET AND PROCURING ORDINARY MULTIVAN VEHICLES.,INL/EA,New,,,1 time purchase,Q3,>$1M and <$5M,UKRAINE,"Gaudreau, Margaret R",,441110 - New Car Dealers,1000000.0,5000000.0
FY24,,INL UKRAINE WILL SUPPORT ENHANCING OF THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) TACTICAL TEAM BY PROCURING AND DONATING PERSONAL PROTECTIVE EQUIPMENT.,INL/EA,New,,,1 time purchase,Q2,>$250K and <$500K,UKRAINE,"Gaudreau, Margaret R",,922120 - Police Protection,250000.0,500000.0
FY24,,INL UKRAINE WILL SUPPORT ENHANCING OF THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) TACTICAL TEAM BY PROCURING AND DONATING PERSONAL PROTECTIVE EQUIPMENT.,INL/EA,New,,,1 time purchase,Q2,>$250K and <$500K,UKRAINE,"Gaudreau, Margaret R",,315210 - Cut and Sew Apparel Contractors,250000.0,500000.0
FY24,,INL UKRAINE WILL SUPPORT ENHANCING OF THE NATIONAL ANTI-CORRUPTION BUREAU OF UKRAINE (NABU) BY EXPANDING AUTO FLEET OF THE OPERATIVE AND TECHNICAL UNIT.,INL/EA,New,,,1 time purchase,Q3,>$500K and <$1M,UKRAINE,"Gaudreau, Margaret R",,441110 - New Car Dealers,500000.0,1000000.0
FY24,,RADIO INFRASTRUCTURE,INL/EA,New,,,1 year,Q1,>$10M and <$20M,MONGOLIA,"Gaudreau, Margaret R",,334290 - Other Communications Equipment Manufacturing,10000000.0,20000000.0
FY24,,CONTRACT FOR POLICE REFORM AND OUTREACH ADVISOR,INL/EA,Recompete,ATSG,Competitive,1 year,Q3,>$250K and <$500K,BOSNIA-HERZEGOVINA,"Gaudreau, Margaret R",Other,561320 - Temporary Help Services,250000.0,500000.0
FY24,,HANDHELD CHEMICAL ANALYZERS (ANAM),INL/EX,New,,,1 time purchase,Q1,>$5M and <$10M,MEXICO,"Gaudreau, Margaret R",,334516 - Analytical Laboratory Instrument Manufacturing,5000000.0,10000000.0
FY24,,POSSIBLY LEASE SPACE IN CO TO HOLD CORRECTIONS TRAINING BY CDOC IN SUPPORT OF INL COUNTRY PROGRAMS.,INL/KM,New,,,1 year,Q1,>$500K and <$1M,"COLORADO, UNITED STATES","Gaudreau, Margaret R",,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses)9,500000.0,1000000.0
FY24,,ITP HYDROSANITARY REFURBISHMENT,INL/WHP,New,,,1 time purchase,Q3,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY24,,ITP MEDIUM TENSION REFURBISHMENT AND  INSTALLATION,INL/WHP,New,,,1 time purchase,Q4,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,238290 - Other Building Equipment Contractors,250000.0,500000.0
FY24,,VEHICLE PROCUREMENT,INL/WHP,New,,,1 time purchase,Q2,>$500K and <$1M,HONDURAS,"Gaudreau, Margaret R",,441110 - New Car Dealers,500000.0,1000000.0
FY24,,SOFTWARE FOR IT PLATFORM,INL/WHP,New,,,1 year,Q1,>$500K and <$1M,HONDURAS,"Gaudreau, Margaret R",,541511 - Custom Computer Programming Services,500000.0,1000000.0
FY24,,ITP HYDROSANITARY REFURBISHMENT,INL/WHP,New,,,< 12 months,Q3,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,250000.0,500000.0
FY24,,CONSTRUCTION INSPECTOR GENERAL REGIONAL OFFICE,INL/WHP,New,,,< 12 months,Q2,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,250000.0,500000.0
FY24,,BUILD RURAL POLICE STATIONS,INL/WHP,New,,,3 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY24,,BOAT AND OUTBOARD MOTORS,INL/WHP,New,,,3 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,333618 - Other Engine Equipment Manufacturing,1000000.0,5000000.0
FY24,,DRUG INCINERATOR,INL/WHP,New,,,1 time purchase,Q4,>$500K and <$1M,PERU,"Gaudreau, Margaret R",,562213 - Solid Waste Combustors and Incinerators,500000.0,1000000.0
FY24,,TOOLS AND MATERIALS TO KENNELS COMPLEX,INL/WHP,New,,,3 years,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,"423310 - Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",250000.0,500000.0
FY24,,KENNELS COMPLEX CONSTRUCTION,INL/WHP,New,,,3 years,Q1,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,500000.0,1000000.0
FY24,,"DATA ANALYSIS, INTEGRATION, TRAINING SYSTEMS.",INL/WHP,New,,,3 years,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",Other,611430 - Professional and Management Development Training,250000.0,500000.0
FY24,,INTERNATIONAL TRAINING FOR CNP,INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",Other,611430 - Professional and Management Development Training,250000.0,500000.0
FY24,,"VETERINARY MEDICINES, DOG FOOD, AMONG OTHERS.",INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,325412 - Pharmaceutical Preparation Manufacturing,250000.0,500000.0
FY24,,UPGRADE SKYCONNECT SYSTEM AVIATION UNIT,INL/WHP,New,,,5 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,517810 - All Other Telecommunications,1000000.0,5000000.0
FY24,,INSTALLATION AND MONITORING OF HUMS SYSTEM -AVIATION UNIT,INL/WHP,New,,,5 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,561621 - Security Systems Services (except Locksmiths),1000000.0,5000000.0
FY24,,AIRCRAFT INSURANCE UH60S,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,524210 - Insurance Agencies and Brokerages,250000.0,500000.0
FY24,,SOFTWARE UPDATE -GRACO (GRUPO DE APOYO COMUNITARIO) COLOMBIAN NATIONAL POLICE -CNP,INL/WHP,New,,,1 year,Q4,>$20M and <$50M,COLOMBIA,"Gaudreau, Margaret R",,334610 - Manufacturing and Reproducing Magnetic and Optical Media,20000000.0,50000000.0
FY24,,LABORATORY CONSTRUCTION -COUNTERINTELLIGENCE/CORRUPTION SUPPORT PROGRAM,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,250000.0,500000.0
FY24,,CONSTRUCTION OF THE FUSION CENTER/PEACEFUL INTERDICTION OPERATIONS,INL/WHP,New,,,3 years,Q4,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY24,,ACQUISITION OF CONTAINERS FOR URABA ZONE/ISLAND SAN ANDRES,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,332999 - All Other Miscellaneous Fabricated Metal Product Manufacturing,250000.0,500000.0
FY24,,SUPPLIES FOR THE POLYGON OF WEAPONS.,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,250000.0,500000.0
FY24,,EQUIPMENT AND FURNITURE FOR COMPUTER ROOM.,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423210 - Furniture Merchant Wholesalers,250000.0,500000.0
FY24,,PURCHASE OF RADAR GENERATORS AND MAINTENANCE.,INL/WHP,New,,,3 years,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,811210 - Electronic and Precision Equipment Repair and Maintenance,250000.0,500000.0
FY24,,"INSTALLATION RADARS IN GORGONA ISLAND, BAHIA SOLANO AND PIZARRO SITES.",INL/WHP,New,,,1 year,Q4,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,541330 - Engineering Services,1000000.0,5000000.0
FY24,,PORTABLE WIRELESS -CNP-DIRAN,INL/WHP,New,,,3 years,Q4,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,1000000.0,5000000.0
FY24,,SOFTWARE DEVELOPMENT SERVICES OF THE SIGSO AND SISDEL SYSTEMS,INL/WHP,New,,,1 year,Q1,>$500M,PERU,"Gaudreau, Margaret R",,541512 - Computer Systems Design Services,500000000.0,
FY24,,ISO ANTIBRIBERY SYSTEM PROJECT FOR 4 COURTS OF JUDICIARY,INL/WHP,New,,,1 year,Q1,>$250K and <$500K,PERU,"Gaudreau, Margaret R",Other,541618 - Other Management Consulting Services,250000.0,500000.0
FY24,,SECURITY BODY CAMERAS ACQUISITION,INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,423210 - Furniture Merchant Wholesalers,1000000.0,5000000.0
FY24,,AIR ASSAULT TOWERS CONSTRUCTION,INL/WHP,New,,,1 year,Q4,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,237990 - Other Heavy and Civil Engineering Construction,1000000.0,5000000.0
FY24,,DRONES FOR SEAPORT FOR UNDERWATER INSPECTION,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",250000.0,500000.0
FY24,,"COMBAT BOATS, VESSELS, SHIPS -ACQUISITION",INL/WHP,New,,,3 years,Q4,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,336612 - Boat Building,500000.0,1000000.0
FY24,,FUEL FOR FLEET OF BOATS -COLOMBIAN ARMY -COLNAV,INL/WHP,New,,,1 year,Q2,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),500000.0,1000000.0
FY24,,THIRD-PARTY CONTRACTOR (TPC) LOCAL,INL/WHP,New,,,1 year,Q3,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",Other,561330 - Professional Employer Organizations,500000.0,1000000.0
FY24,,SOFTWARE FOR COLOMBIAN NATIONAL POLICE -SIJIN -DIRAN,INL/WHP,New,,,3 years,Q4,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY24,,COMPUTERS PURCHASE FOR COLOMBIAN NATIONAL POLICE -DIRAN,INL/WHP,New,,,3 years,Q4,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY24,,THIRD-PARTY CONTRACTOR (TPC) LOCAL -CNP -INTERDICTION STAFF PAYROLL,INL/WHP,New,,,1 year,Q4,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",Other,561330 - Professional Employer Organizations,500000.0,1000000.0
FY24,,VEHICLES PURCHASE TO SUPPORT THE INVESTIGATION MOBILE UNITS -CNP,INL/WHP,New,,,3 years,Q2,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY24,,"COMPUTER HARDWARE AND FURNITURE, SUPPORT TO UIAF -MONEY LAUNDERING OFFICE",INL/WHP,New,,,3 years,Q2,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY24,,VEHICLES TO SUPPORT NATION'S ATTORNEY GENERAL -ELITE GROUP,INL/WHP,New,,,3 years,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY24,,AVIATION OCCUPANTS PERSONAL ACCIDENT INSURANCE POLICY,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,524210 - Insurance Agencies and Brokerages,250000.0,500000.0
FY24,,ALSE (AVIATION LIFE SUPPORT EQUIPMENT),INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336413 - Other Aircraft Part and Auxiliary Equipment Manufacturing7,250000.0,500000.0
FY24,,VEHICLES PURCHASE -SUPPORT TO NATION'S ATTORNEY GENERAL -ELITE GROUP,INL/WHP,New,,,3 years,Q2,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY24,,DOD AIRLIFT FOR PDM AIRCRAFTS,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336412 - Aircraft Engine and Engine Parts Manufacturing,250000.0,500000.0
FY24,,REPAIR OF 4 ACFT ENGINES,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336412 - Aircraft Engine and Engine Parts Manufacturing,250000.0,500000.0
FY24,,AVIATION FUEL PURCHASE,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336413 - Other Aircraft Part and Auxiliary Equipment Manufacturing7,250000.0,500000.0
FY24,,"IT HARDWARE/SOFTWARE, FURNITURE AND TECHNICAL SUPPORT FOR THE CNP- DICAR OFFICIALS.",INL/WHP,New,,,1 year,Q2,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY24,,AVIATION OCCUPANTS PERSONAL ACCIDENT INSURANCE POLICY,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,524210 - Insurance Agencies and Brokerages,250000.0,500000.0
FY24,,ALSE (AVIATION LIFE SUPPORT EQUIPMENT),INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,"334511 - Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",250000.0,500000.0
FY24,,DOD AIRLIFT FOR PDM AIRCRAFTS,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336412 - Aircraft Engine and Engine Parts Manufacturing,250000.0,500000.0
FY24,,REPAIR OF 4 ACFT ENGINES,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,336412 - Aircraft Engine and Engine Parts Manufacturing,250000.0,500000.0
FY24,,AVIATION FUEL PURCHASE,INL/WHP,New,,,1 year,Q2,>$250K and <$500K,PERU,"Gaudreau, Margaret R",,424720 - Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),250000.0,500000.0
FY24,,DESIGN AND PROCUREMENT OF A MOBILE CHECK POINT OFFICE.,INL/WHP,New,,,3 years,Q3,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,1000000.0,5000000.0
FY24,,RENTAL OF OFFICES,INL/WHP,New,,,3 years,Q3,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses)9,250000.0,500000.0
FY24,,PROCUREMENT EQUIPMENT (IT HARDWARE AND SOFTWARE),INL/WHP,New,,,3 years,Q3,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY24,,PROCUREMENT EQUIPMENT (IT HARDWARE AND SOFTWARE),INL/WHP,New,,,3 years,Q4,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,500000.0,1000000.0
FY24,,IT EQUIPMENT (HARDWARE & SOFTWARE) COLOMBIAN NATIONAL POLICE -CNP - DIJIN (DIRECCIÓN CENTRAL DE POLICÍA JUDICIAL E INTELIGENCIA),INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY24,,PROFESSIONAL SERVICES FOREIGN GOVERNMENT ENTITIES,INL/WHP,New,,,5 years,Q3,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",Other,"541990 - All Other Professional, Scientific and Technical Services",500000.0,1000000.0
FY24,,OFFICE EQUIPMENT & FURNISHING -UIAF (UNIDAD DE INFORMACIÓN Y ANÁLISIS FINANCIERO) -MONEY LAUNDERING,INL/WHP,New,,,3 years,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423210 - Furniture Merchant Wholesalers,250000.0,500000.0
FY24,,LODGING RENTAL SERVICES -FOREIGNER'S GCO (GRUPO CONJUNTO CONTRA EL CRIMEN ORGANIZADO),INL/WHP,New,,,3 years,Q2,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,531110 - Lessors of Residential Buildings and Dwellings9,500000.0,1000000.0
FY24,,IT EQUIPMENT (HARDWARE & SOFTWARE) -GCO (GRUPO CONJUNTO CONTRA EL CRIMEN ORGANIZADO),INL/WHP,New,,,3 years,Q2,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY24,,"TACTICAL, VEHICULAR, TECHNOLOGICAL AND INVESTIGATION EQUIPMENT -GENERAL ATTORNEY",INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,339999 - All Other Miscellaneous Manufacturing,250000.0,500000.0
FY24,,MISCELLANEOUS SUPPLIES -ACQUISITIONS FOR INSTITUTIONS INVESTIGATING AND FORCED RECRUITMENT.,INL/WHP,New,,,3 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,1000000.0,5000000.0
FY24,,ARMORED VEHICLES -RURAL JUSTICE,INL/WHP,New,,,1 year,Q1,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,"336992 - Military Armored Vehicle, Tank and Tank Component Manufacturing",500000.0,1000000.0
FY24,,FURNITURE -CNP -DIJIN,INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,449110 - Furniture Retailers,250000.0,500000.0
FY24,,CONSTRUCTION PROJECT -PRISON REFORM-INPEC (INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY24,,CONSTRUCTION PRISON REFORM PROJECT -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,1 year,Q2,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY24,,MISCELLANEOUS SUPPLIES -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,3 years,Q3,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,500000.0,1000000.0
FY24,,MISCELLANEOUS EQUIPMENT -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,3 years,Q3,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,250000.0,500000.0
FY24,,TRAINING -INVESTIGATION UNIT -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,3 years,Q1,>$500K and <$1M,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,500000.0,1000000.0
FY24,,TRAINING -INVESTIGATION UNIT -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,611430 - Professional and Management Development Training,250000.0,500000.0
FY24,,SECURITY & TACTICAL EQUIPMENT -INPEC (INSTITUTO PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,3 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,922140 - Correctional Institutions,1000000.0,5000000.0
FY24,,CONSTRUCTION PROJECT -INPEC (INSTITUTO NACIONAL PENITENCIARIO Y CARCELARIO),INL/WHP,New,,,3 years,Q2,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,1000000.0,5000000.0
FY24,,IT EQUIPMENT DIPOL,INL/WHP,New,,,< 12 months,Q1,>$500M,HONDURAS,"Gaudreau, Margaret R",,334111 - Electronic Computer Manufacturing,500000000.0,
FY24,,OFFICE EQUIPMENT & FURNISHING ACQUISITIONS,INL/WHP,New,,,3 years,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,423210 - Furniture Merchant Wholesalers,1000000.0,5000000.0
FY24,,"CONSTRUCTION MATERIALS, AND OTHER MISCELLANEOUS ELEMENTS. -CNP ERADICATION FOR PEACE PROGRAM.",INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,"423310 - Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",1000000.0,5000000.0
FY24,,MISCELLANEOUS SUPPLIES -SUPPORT ERRADICATIONS OPERATIONS.,INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,1000000.0,5000000.0
FY24,,MISCELLANEOUS SUPPLIES -COLAR SUPPORT.,INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,339999 - All Other Miscellaneous Manufacturing,1000000.0,5000000.0
FY24,,ACQUISITION OF PROSTHETICS -SURVIVORS ASSISTANCE PROGRAM.,INL/WHP,New,,,1 year,Q1,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,339113 - Surgical Appliance and Supplies Manufacturing,1000000.0,5000000.0
FY24,,MISCELLANEOUS SUPPLIES -ALTERNATIVE DEVELOPMENT PROGRAM.,INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,459999 - All Other Miscellaneous Retailers,250000.0,500000.0
FY24,,SECURITY & TACTICAL EQUIPMENT -DEA,INL/WHP,New,,,1 year,Q4,>$1M and <$5M,COLOMBIA,"Gaudreau, Margaret R",,928110 - National Security,1000000.0,5000000.0
FY24,,PUBLICATION OF TECHNICAL MANUALS -AVIATION UNIT.,INL/WHP,New,,,1 year,Q1,>$250K and <$500K,COLOMBIA,"Gaudreau, Margaret R",,513130 - Book Publishers,250000.0,500000.0
FY24,,VEHICLE PROCUREMENT,INL/WHP,New,,,1 time purchase,Q2,>$1M and <$5M,HONDURAS,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,1000000.0,5000000.0
FY24,,"COMPUTER EQUIPMENT PURCHASE FOR INL NAKU AND SVIU PROGRAMS (COMPUTERS, ANTIVIRUS, MICROSOFT OFFICE, PRINTERS, PROJEVTORS)",INL/WHP,New,,,1 time purchase,Q1,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,423430 - Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,250000.0,500000.0
FY24,,BOAT MAINTENANCE FACILITY,INL/WHP,New,,,1 year,Q3,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,236220 - Commercial and Institutional Building Construction,250000.0,500000.0
FY24,,VEHICLE,INL/WHP,New,,,1 time purchase,Q1,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,423110 - Automobile and Other Motor Vehicle Merchant Wholesalers,250000.0,500000.0
FY24,,CONSTRUCTION MATERIALS FOR MORGUE IN ROATAN,INL/WHP,New,,,1 year,Q4,>$250K and <$500K,HONDURAS,"Gaudreau, Margaret R",,"423310 - Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",250000.0,500000.0
FY24,,X-RAY IRRADIATION EQUIPMENT MANUFACTURING,INL/WHP,New,,,3 years,Q1,>$5M and <$10M,MEXICO,"Gaudreau, Margaret R",,334517 - Irradiation Apparatus Manufacturing,5000000.0,10000000.0
FY24,,PROVIDE MARITIME ADVISOR SUPPORT IN MEXICO,INL/WHP,New,,,1 year,Q4,>$500K and <$1M,MEXICO,"Gaudreau, Margaret R",,541690 - Other Scientific and Technical Consulting Services,500000.0,1000000.0
FY24,,PROVIDE NON-INTRUSIVE INSPECTION EQUIPMENT TO ANAM TO ACHIEVE 100% JOINT PRE-PRIMARY SCANNING AND REMOTE REVISION CAPABILITY ACROSS ALL NORTH AND SOUTHBOUND TRAFFIC LANES OF SHARED BORDER LAND PORTS ON ENTRY,INL/WHP,New,,,3 years,Q4,>$10M and <$20M,MEXICO,"Gaudreau, Margaret R",,334290 - Other Communications Equipment Manufacturing,10000000.0,20000000.0
FY24,,BUILD UPON A CBP PROGRAM THAT PRIMARILY FOCUSES ON THE RESCUE AND IDENTIFICATION OF MIGRANTS BUT WILL FURTHER CONCENTRATE ON INCREASING AND IMPROVING CROSS-BORDER INFORMATION SHARING AND OPERATIONAL RESPONSES TO BINATIONAL INCIDENTS.,INL/WHP,New,,,3 years,Q4,>$500K and <$1M,MEXICO,"Gaudreau, Margaret R",,541511 - Custom Computer Programming Services,500000.0,1000000.0
FY24,,"BIOMETRICS DATA SHARING PROGRAM, MAINTENANCE AND SUSTAINABILITY SERVICES",INL/WHP,New,,,3 years,Q1,>$1M and <$5M,MEXICO,"Gaudreau, Margaret R",,541511 - Custom Computer Programming Services,1000000.0,5000000.0
FY24,,PROVIDE INM BIOMETRIC COLLECTION KITS TO BE INSTALLED AT THE MIGRATION STATIONS AND AIRPORTS FOR THE SECONDARY INSPECTIONS TO EXPAND BDSP.,INL/WHP,New,,,3 years,Q2,>$500K and <$1M,MEXICO,"Gaudreau, Margaret R",,334118 - Computer Terminal and Other Computer Peripheral Equipment Manufacturing,500000.0,1000000.0
